  570$	Asus (RT-AX88U) AX6000 Dual Band 802.11ax WiFi Router supporting MU-MIMO and OFDMA technology
  570$	Asus Nvidia (ROG-STRIX-GTX1660TI-O6G-GAMING) 6GB GTX 1660 Ti STRIX OC PCI-E VGA Card
  570$	Gigabyte X299 Aorus Ultra Gaming Intel X299 S2066 5xPCIE/USB3.1 (Gen2) Type-A+C/ATX Motherboard
  570$	MSI Nvidia (RTX 2060 VENTUS XS 6G OC / V1) 6G RTX 2060 Ventus XS OC PCI-E VGA Card
  560$	Asus ROG Rapture (AS-GT-AC5300) AC5300 Wireless Tri-Band Gaming Router
  560$	Intel (BX80684I79700KF) CORE i7-9700KF up to 4.9Ghz 12M Cache LGA1151 Coffee Lake w/o Heatsink/Fan
  560$	Sapphire Radeon (21294-01-20G) 8GB RX 5700 PCI-E VGA Card
  550$	Amaryllo ATOM AR3S (ACR1608R31SBK) 2MP 1080P Outdoor Security Robots (360 degree auto tracking)
  550$	Asus Nvidia (DUAL-RTX2060-O6G) 6GB RTX 2060 Dual OC PCI-E VGA Card
  550$	Intel 660P series (SSDPEKNW020T8X1) 2TB M.2 PCIe NVMe SSD Solid State Drive
  550$	MSI Nvidia (RTX 2060 VENTUS 6G OC) 6G RTX 2060 Ventus OC PCI-E VGA Card
  550$	NETGEAR ProSAFE (GS728TP) 24-PORT Gigabit PoE SMART Managed Switch with 4 SFP Port
  550$	Samsung Portable SSD T5 (MU-PA2T0B/WW) 2TB USB3.1 (Gen2) External HDD
  540$	Samsung 34in (LS34J550WQEXXY) 3440x1440 4ms WQHD LED DP HDMI VESA Monitor
  540$	Seagate 3.5in BarraCuda PRO 10TB (ST10000DM0004) SATA3 7200rpm 256MB Cache Hard Disk Drive
  540$	Synology DiskStation (DS418) 4-Bay3.5in Diskless 2xGbE NAS (HMB),Realtek RTD1296 quad-core 1.4GHz,
  536$	HP Original (CF321A) # 653A Cyan Toner Cartridge - 16,500 pages
  536$	HP Original (CF322A) # 653A Yellow Toner Cartridge - 16,500 pages
  536$	HP Original (CF323A) # 653A Magenta Toner Cartridge - 16,500 pages
  530$	Benq (PD2700Q) 27IN IPS-LED (2K-QHD) HDMI/DisplayPort/mini-DP (16:9) 2560x1440 Speakers
  530$	Intel 7th Gen NUC (BOXNUC7i5BNH) i5-7260U/HDMI/WIFI/BT/Type-C DP/USB3.1/2.5in/Mini-PC Barebone
  520$	AMD Ryzen 7 3700X (100-100000071BOX) 3.6Ghz/AM4/36M/65W Boxed CPU with Wraith Prism Cooler
  505$	HP Original (Q5951A) # 643A Cyan Toner Cartridge - 10,000 pages
  505$	HP Original (Q5952A) # 643A Yellow Toner Cartridge - 10,000 pages
  505$	HP Original (Q5953A) # 643A Magenta Toner Cartridge - 10,000 pages
  502$	HP Original (CC364X) # 64X Toner Cartridge High Capacity - 24,000 pages
  500$	ASUS 27in (VG278QR) FreeSync 0.5ms 165Hz LED Gaming Monitor with Speakers
  500$	Asus STRIX X299-E GAMING Intel X299 S2066/8xDDR4/3xPCIEx16/USB3.1(Gen 2)/BT/WiFi/ATX Motherboard
  500$	MSI OPTIX (MPG27C) 27in curved FHD 1920 x 1080 frameless 144Hz 1ms HDMI DVI DP Gaming Monitor
  500$	NETGEAR (RAX80-100AUS) Nighthawk AX8 8-Stream AX6000 WiFi Router
  500$	Partlist (RZ1500A) 5 - 1500M Laser Monocular Range/Speed Finder - Black and Blue
  500$	TP-Link (Archer AX6000) MU-MIMO Smart Wi-Fi Router
  498$	HP Original (CF310A) # 826A Black Toner Cartridge - 29,000 pages
  498$	Intel (BX80684I78700) CORE i7-8700 3.20GHz 12MB Cache LGA1151 Coffee Lake Boxed CPU
  495$	HP Original (C9730A) # 645A Black Toner Cartridge - 13,000 pages
  493$	HP Original (C8543X) # 43X Toner Cartridge - 30,000 pages
  490$	ASRock X570 Taichi AMD X570/4xDDR4/3xPCIEx16/WiFi/BT5.0/M.2/USB3.2/ATX Motherboard
  490$	Asus ROG Strix X570-E Gaming AMD X570/4xDDR4/3xPCI-Ex16/M.2/HDMI/DP/M.2/WiFi/BT5.0/ATX Motherboard
  490$	Leadtek Nvidia Quadro P1000 (900-5G212-2250-000) 4GB DDR5 PCI-E VGA Card
  480$	Asus ROG MAXIMUS XI HERO Intel Z390 S1151 4xDDR4/3xPCIEx16/HDMI/DP/M.2/Type-C/ATX Motherboard
  480$	Gigabyte Nvidia (N166TGAMING OC-6GD) 6GB GTX 1660 Ti Gaming OC PCI-E VGA Card
  480$	Samsung 32in (LU32J590UQEXXY) 4ms 3840x2160 60Hz FreeSync DP/HDMI Monitor
  480$	Seagate IronWolf NAS 3.5in 10TB (ST10000VN0004/VN008) SATA3 7200rpm 256MB cache Hard Disk Drive
  475$	TP-LINK T1600G-28PS (TL-SG2424P) 24-Port Gigabit Smart PoE+ Switch with 4 SFP Slots(Max 215W)
  471$	HP Original (CB401A) # 642A Cyan Toner Cartridge - 7,500 pages
  471$	HP Original (CB402A) # 642A Yellow Toner Cartridge - 7,500 pages
  471$	HP Original (CB403A) # 642A Magenta Toner Cartridge - 7,500 pages
  470$	AMD (YD270XBGAFBOX) Ryzen 7-2700X 4.35Ghz/8 Core/20MB/105W AM4 Boxed CPU with Wraith Prism cooler
  470$	Asus TUF X299 MARK 1 Intel X299 S2066/8xDDR4/3xPCIEx16/USB3.1(Gen 2)/M.2/ATX Motherboard
  470$	Gigabyte X570 AORUS PRO WIFI AMD4 X570 4xDDR4/3x PCI-Ex16/M.2/HDMI/WiFi/BT5.0/ATX Motherboard
  470$	HP Original (CE261A) # 648A Cyan Toner Cartridge - 11,000 pages
  470$	HP Original (CE262A) # 648A Yellow Toner Cartridge - 11,000 pages
